business_name,business_category,address,city,state,pincode,latitude,longitude,phone_number,website,email,opening_hours,open_now,rating,review_count,description,services,business_status,source_url,collected_timestamp
A1 Car Care Center,Auto repair shop,"1/1, No, Ashoka Pillar Road, nr. Mallige Mahabodhi Hospital, 1st Block, 2nd Block, Jaya Nagar East, Jayanagar, Bengaluru, Karnataka 560027",Bangalore,Karnataka,560027,12.9482846,77.5928992,09343085404,,,Saturday10:30 am–8:30 pmSunday10:30 am–2:30 pmMonday10:30 am–8:30 pmTuesday10:30 am–8:30 pmWednesday10:30 am–8:30 pmThursday10:30 am–8:30 pmFriday10:30 am–8:30 pmSuggest new hours,,4.1,216,,,Operational,"https://www.google.com/maps/place/A1+Car+Care+Center/@12.9482846,77.5928992,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15c6f17a1359:0x10447b0453e9eb8e!8m2!3d12.9482846!4d77.5928992!16s%2Fg%2F1260h032q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:04.236108
Peters Garage,Auto repair shop,"378, 9th Main, 42nd Cross Rd, opposite ICICI Bank, 5th Block, Jayanagar, Bengaluru, Karnataka 560041",Bangalore,Karnataka,560041,12.918617,77.5835666,,,,,,5.0,,,,Operational,"https://www.google.com/maps/place/Peters+Garage/@12.918617,77.5835666,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae157520f4ef03:0x376319538624b9f3!8m2!3d12.918617!4d77.5835666!16s%2Fg%2F11yh20fdcl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:14.468780
Super Mechanical Works,Two Wheeler Repair Shop,"3rd Block, 262/1A, 22nd Cross Rd, opp. Upahara Darshini, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.932759,77.5845553,09886090119,,,Saturday9:30 am–11 pmSunday9:30 am–11 pmMonday9:30 am–11 pmTuesday9:30 am–11 pmWednesday9:30 am–11 pmThursday9:30 am–11 pmFriday9:30 am–11 pmSuggest new hours,,2.5,4,,,Operational,"https://www.google.com/maps/place/Super+Mechanical+Works/@12.932759,77.5845553,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1597f8a9561f:0x777d94e376e463af!8m2!3d12.932759!4d77.5845553!16s%2Fg%2F1ydxc5bw7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:23.113379
Maruthi Auto Care,Auto repair shop,"# 65 9th Main 9th Cross BBMP Complex, 2nd Block Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9391098,77.5832636,09448796552,,,Saturday9 am–6:30 pmSundayClosedMonday9 am–6:30 pmTuesday9 am–6:30 pmWednesday9 am–6:30 pmThursday9 am–6:30 pmFriday9 am–6:30 pmSuggest new hours,False,4.3,7,,,Operational,"https://www.google.com/maps/place/Maruthi+Auto+Care/@12.9391098,77.5832636,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1595c39930d1:0xc511d7a6ed58bff2!8m2!3d12.9391098!4d77.5832636!16s%2Fg%2F1tdlsqkx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:30.888592
RMS Motors,Auto repair shop,"162, 3rd Main Rd, Tata Silk Farm, Jayanagar, Bengaluru, Karnataka 560004",Bangalore,Karnataka,560004,12.9378152,77.5675927,09844036529,,,Saturday9 am–7 pmSunday9 am–2 pmMonday9 am–7 pmTuesday9 am–7 pmWednesday9 am–7 pmThursday9 am–7 pmFriday9 am–7 pmSuggest new hours,,4.2,61,,,Operational,"https://www.google.com/maps/place/RMS+Motors/@12.9378152,77.5675927,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15904b8066cf:0x84cffe4bc46f34d0!8m2!3d12.9378152!4d77.5675927!16s%2Fg%2F1ptwyb0h2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:38.972347
A.M Motors,Auto repair shop,"#7, 1St Cross, Jayanagar 2Nd Black, 8Th Main, Bangalore - 560011, Karnataka 560011",Bangalore,Karnataka,560011,12.9431058,77.582756,09895951111,,,,,5.0,2,,,Operational,"https://www.google.com/maps/place/A.M+Motors/@12.9431058,77.582756,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15953ad7c0bd:0xc645c0526e906d6b!8m2!3d12.9431058!4d77.582756!16s%2Fg%2F11jzw8d5xt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:47.931714
Accurate car care,Mechanic,"bus stop, 27th Cross, behind yedur, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",Bangalore,Karnataka,560070,12.9307453,77.5766628,08147858281,https://accurate-car-care.vercel.app/,,Saturday10 am–8 pmSundayClosedMonday10 am–8 pmTuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSuggest new hours,False,4.2,14,,,Operational,"https://www.google.com/maps/place/Accurate+car+care/@12.9307453,77.5766628,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae159a95407df9:0x696e2b8ab2ce3a46!8m2!3d12.9307453!4d77.5766628!16s%2Fg%2F11cr_y3_zf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:35:54.452287
LG Refrigerator & Washing Machine Service Repair Center,Electronics repair shop,"Shop 14, 1684, E End A Main Rd, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",Bangalore,Karnataka,560041,12.9190849,77.5972634,08548010032,,,Saturday6 am–11 pmSunday6 am–11 pmMonday6 am–11 pmTuesday6 am–11 pmWednesday6 am–11 pmThursday6 am–11 pmFriday6 am–11 pmSuggest new hours,,5.0,6,,,Operational,"https://www.google.com/maps/place/LG+Refrigerator+%26+Washing+Machine+Service+Repair+Center/@12.9190849,77.5972634,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae151745abb971:0xf80b79ae8e5ea697!8m2!3d12.9190849!4d77.5972634!16s%2Fg%2F11nqwtp8lx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:02.095004
S M Auto Engineering Works,Auto repair shop,"Mosque Road, 19, 31st Cross Rd, near Masjid, 4th T Block East, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",Bangalore,Karnataka,560070,12.9281289,77.5788636,,,,,,5.0,2,,,Operational,"https://www.google.com/maps/place/S+M+Auto+Engineering+Works/@12.9281289,77.5788636,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae159be0dfeee3:0xc8621f90f3daf965!8m2!3d12.9281289!4d77.5788636!16s%2Fg%2F11xp7f9k_3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:12.033946
RenewRite _ Premium Shoe and Bag Repair Services - Jayanagar,Shoe repair shop,"Shop no.5, 530, 11th Main Rd, next to Khazana jewellers, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9264814,77.5859159,09364088990,https://www.renewrite.in/,,,,4.8,297,,,Operational,"https://www.google.com/maps/place/RenewRite+_+Premium+Shoe+and+Bag+Repair+Services+-+Jayanagar/@12.9264814,77.5859159,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15341f43e07b:0x37dd6e9fe9519a0d!8m2!3d12.9264814!4d77.5859159!16s%2Fg%2F11vwdxmfwm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:17.905846
Green Leaf Car Care,Car wash,"shop no. 806, 28th A Main Rd, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",Bangalore,Karnataka,560041,12.9186973,77.5956207,09886667669,,,Saturday9 am–6 pmSunday9 am–2 pmMonday9 am–6 pmTuesday9 am–6 pmWednesday9 am–6 pmThursday9 am–6 pmFriday9 am–6 pmSuggest new hours,,4.4,279,,,Operational,"https://www.google.com/maps/place/Green+Leaf+Car+Care/@12.9186973,77.5956207,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15088f60e5b7:0x9201fb2d26971908!8m2!3d12.9186973!4d77.5956207!16s%2Fg%2F11bwyh3054?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:25.668132
Mi Service Center (Jayanagar 4th Block),Mobile phone repair shop,"Ground Floor, 11th, 36th Cross Rd, opp. to Shanthi Nursing Home, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041",Bangalore,Karnataka,560041,12.9236586,77.5861243,06360072433,https://miservicecentre.com/mi-service-center-jayanagar-bangalore-redmi-customer-care-jayanagar/,,Saturday10:30 am–8:30 pmSunday10:30 am–8:30 pmMonday10:30 am–8:30 pmTuesday10:30 am–8:30 pmWednesday10:30 am–8:30 pmThursday10:30 am–8:30 pmFriday10:30 am–8:30 pmSuggest new hours,,3.9,173,,,Operational,"https://www.google.com/maps/place/Mi+Service+Center+(Jayanagar+4th+Block)/@12.9236586,77.5861243,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15873581f4e9:0x4c3507d77ce8838a!8m2!3d12.9236586!4d77.5861243!16s%2Fg%2F11qg5sd9sg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:31.667071
Sai Colorium Car Care Pvt. Ltd,Car repair and maintenance service,"G M Garden, 64/2, 5th cross, Sarakki Main Rd, near SOBHA DEWFLOWER, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Bangalore,Karnataka,560078,12.9140315,77.5781375,09900991370,,,Saturday9:30 am–6:30 pmSundayClosedMonday9:30 am–6:30 pmTuesday9:30 am–6:30 pmWednesday9:30 am–6:30 pmThursday9:30 am–6:30 pmFriday9:30 am–6:30 pmSuggest new hours,False,4.3,349,,,Operational,"https://www.google.com/maps/place/Sai+Colorium+Car+Care+Pvt.+Ltd/@12.9140315,77.5781375,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1571704438fb:0xc2d0943b5ab8ca19!8m2!3d12.9140315!4d77.5781375!16s%2Fg%2F1tf2w766?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:40.510649
Enfield motor works & service point,Two Wheeler Repair Shop,"Main Road, East stand, 823, East stand, opp. Carmel convent school, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",Bangalore,Karnataka,560041,12.9275447,77.5970702,09880667143,,,Saturday8:30 am–8 pmSundayClosedMonday8:30 am–8 pmTuesday8:30 am–8 pmWednesday8:30 am–8 pmThursday8:30 am–8 pmFriday8:30 am–8 pmSuggest new hours,False,2.3,8,,,Operational,"https://www.google.com/maps/place/Enfield+motor+works+%26+service+point/@12.9275447,77.5970702,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15af54f86779:0x23b05b504abfd814!8m2!3d12.9275447!4d77.5970702!16s%2Fg%2F11bxdf27t8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:48.675199
Sri Vigneshwara Bullet Station,Two Wheeler Repair Shop,"2nd, Market Square, 9th Cross Road, Block 64, 8th Main Rd, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9391193,77.5832431,09980754186,https://royalenfield.com/,,Saturday10:30 am–8:30 pmSundayClosedMonday10:30 am–8:30 pmTuesday10:30 am–8:30 pmWednesday10:30 am–8:30 pmThursday10:30 am–8:30 pmFriday10:30 am–8:30 pmSuggest new hours,False,4.3,60,,,Operational,"https://www.google.com/maps/place/Sri+Vigneshwara+Bullet+Station/@12.9391193,77.5832431,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1595c34a76d7:0x721504e4ccf0a7ec!8m2!3d12.9391193!4d77.5832431!16s%2Fg%2F11bw7b1h8n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:36:54.533520
Apple Authorised Service Provider - iPlanet Care,Mobile phone repair shop,"Murari Tower, Ashoka Pillar Rd, beside Reliance Digital, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9385113,77.5848356,07094409222,https://locations.iplanet.one/iplanet-service-center-jayanagar-bengaluru-karnataka,,Saturday10 am–8 pmSunday10 am–7 pmMonday10 am–8 pmTuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSuggest new hours,,4.9,16937,,,Operational,"https://www.google.com/maps/place/Apple+Authorised+Service+Provider+-+iPlanet+Care/@12.9385113,77.5848356,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15be2941ab81:0x6de1a4fa82f270da!8m2!3d12.9385113!4d77.5848356!16s%2Fg%2F11clsyp_yb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:00.978970
Kawasaki Service Centre,Two Wheeler Repair Shop,"Block 122/49-1, Ground Floor, 7th, 27th Cross, Yediyur, Jayanagar, Bengaluru, Karnataka 560070",Bangalore,Karnataka,560070,12.9307749,77.5777225,08867705937,http://www.kawasaki-india.com/,,Saturday9:30 am–1 pm2:30–6:30 pmSundayClosedMonday9:30 am–1 pm2:30–6:30 pmTuesday9:30 am–1 pm2:30–6:30 pmWednesday9:30 am–1 pm2:30–6:30 pmThursday9:30 am–1 pm2:30–6:30 pmFriday9:30 am–1 pm2:30–6:30 pmSuggest new hours,False,4.2,853,,,Operational,"https://www.google.com/maps/place/Kawasaki+Service+Centre/@12.9307749,77.5777225,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae159a41666737:0x956478e4047470f8!8m2!3d12.9307749!4d77.5777225!16s%2Fg%2F11dyzf2233?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:06.866599
Shoe Repair Cobbler,Shoe repair shop,"1st, Main, 29th Cross Rd, near Indian Bank, Geetha Colony, 4th T Block East, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9305043,77.5848873,,,,Saturday8:30 am–9 pmSunday8:30 am–9 pmMonday8:30 am–9 pmTuesday8:30 am–9 pmWednesday8:30 am–9 pmThursday8:30 am–9 pmFriday8:30 am–9 pmSuggest new hours,,5.0,2,,,Operational,"https://www.google.com/maps/place/Shoe+Repair+Cobbler/@12.9305043,77.5848873,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae150042b285a5:0xed9ea6f911ad659b!8m2!3d12.9305043!4d77.5848873!16s%2Fg%2F11mrry6d44?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:16.136162
BRIGHT TELESERVICES - Motorola Service Center,Mobile phone repair shop,"27th Cross, Geetha Colony, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9310498,77.5815661,09611477839,,,Saturday10 am–7 pmSundayClosedMonday10 am–7 pmTuesday10 am–7 pmWednesday10 am–7 pmThursday10 am–7 pmFriday10 am–7 pmSuggest new hours,False,4.4,1143,,,Operational,"https://www.google.com/maps/place/BRIGHT+TELESERVICES+-+Motorola+Service+Center/@12.9310498,77.5815661,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15109a070ad9:0x30686e2d84cc136e!8m2!3d12.9310498!4d77.5815661!16s%2Fg%2F11tp9x4n81?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:23.868332
Balaji mobile corner mobile repair expert Jayanagar,Phone repair service,"Oppo upahara Dharshini, 261, 9th A Main Rd, Jayanagar 3rd Block, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9327369,77.5842243,07676369961,,,Saturday10 am–8:30 pmSundayClosedMonday10 am–8:30 pmTuesday10 am–8:30 pmWednesday10 am–8:30 pmThursday10 am–8:30 pmFriday10 am–8:30 pmSuggest new hours,False,5.0,4,,,Operational,"https://www.google.com/maps/place/Balaji+mobile+corner+mobile+repair+expert+Jayanagar/@12.9327369,77.5842243,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15725aabe969:0x724abc0cbbe55e4d!8m2!3d12.9327369!4d77.5842243!16s%2Fg%2F11mm3zknqg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:31.984498
Mobile care(shruthi enterprises),Cell phone accessory store,"651/3, 30th Cross Rd, opposite to Vijaya Junior college, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.928241,77.5861134,06362523435,http://www.mobilecare.com/,,Saturday9:30 am–10 pmSunday9:30 am–10 pmMonday9:30 am–9:30 pmTuesday9:30 am–9:30 pmWednesday9:30 am–9:30 pmThursday9:30 am–9:30 pmFriday9:30 am–9:30 pmSuggest new hours,,5.0,459,,,Operational,"https://www.google.com/maps/place/Mobile+care(shruthi+enterprises)/@12.928241,77.5861134,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae157ab0350799:0x2334ee7f95ec5b0c!8m2!3d12.928241!4d77.5861134!16s%2Fg%2F11j0h95t1k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:38.416153
Sonu Watch Works,Watch store,"Shop No. 47, 29th Cross, 10th Main, 4th Block,, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",Bangalore,Karnataka,560011,12.9294215,77.585236,09880118444,,,Saturday10 am–9 pmSunday10 am–9 pmMonday10 am–9 pmTuesday10 am–9 pmWednesday10 am–9 pmThursday10 am–9 pmFriday10 am–9 pmSuggest new hours,,4.3,227,"·

Delivery
",,Operational,"https://www.google.com/maps/place/Sonu+Watch+Works/@12.9294215,77.585236,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15a279895621:0x70b528dfe5645d59!8m2!3d12.9294215!4d77.585236!16s%2Fg%2F1yg6c_rpq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T04:37:44.330977
